case_id,category,title,difficulty,topology,symptoms,user_report,device,relevant_config,expected_behavior,root_cause,correct_fix,severity,packet_tracer_file
NET011,DNS,Incorrect DNS Server,Easy,PC-DNS,"Websites cannot be reached by hostname but IP addresses work","Internet works when I use an IP address but not a website name",PC,"DNS server 192.168.99.10","Client should use the correct DNS server","Client is configured with an invalid DNS server","Configure the correct DNS server address",Medium,NET011_dns_server.pkt
NET012,DNS,Missing DNS Record,Easy,PC-DNS-SERVER,"Specific hostname does not resolve","One internal application name cannot be found",DNS Server,"No A record exists for app.company.local","Hostname should resolve to the application server","Required DNS record is missing","Create the required DNS record",Medium,NET012_dns_record.pkt
NET013,DNS,DNS Server Unreachable,Medium,PC-ROUTER-DNS,"DNS queries time out","Clients cannot resolve any hostnames",DNS Server,"DNS server is unreachable from client subnet","DNS server should be reachable through the network","Routing or ACL prevents DNS traffic from reaching the server","Restore network connectivity and permit DNS traffic",High,NET013_dns_unreachable.pkt
NET014,DNS,Incorrect Domain Configuration,Easy,PC-DNS,"Short hostnames fail to resolve","Fully qualified names work but short names do not",PC,"ip domain-name wrong.local","Client should use the correct DNS search domain","Incorrect domain/search configuration is used","Configure the correct domain/search suffix",Low,NET014_dns_domain.pkt
NET015,ACL,ACL Blocks HTTP,Medium,PC-ROUTER-SERVER,"Web server cannot be reached over HTTP","I can ping the server but the webpage does not open",R1,"access-list 101 deny tcp any host 192.168.20.10 eq 80","HTTP traffic should reach the web server","ACL explicitly denies HTTP traffic","Permit required HTTP traffic in the ACL",High,NET015_acl_http.pkt
NET016,ACL,ACL Applied in Wrong Direction,Medium,ROUTER,"Unexpected traffic is blocked","The ACL exists but affects the wrong traffic flow",R1,"ip access-group 101 in","ACL should inspect the intended traffic direction","ACL is applied in the wrong direction","Apply the ACL in the correct direction",Medium,NET016_acl_direction.pkt
NET017,ACL,Incorrect Source Network,Medium,PC-ROUTER-SERVER,"Authorized users cannot access the server","Users from the correct subnet are being denied",R1,"access-list 110 permit ip 192.168.30.0 0.0.0.255 any","Users from 192.168.10.0/24 should be permitted","ACL permits the wrong source network","Correct the ACL source network",High,NET017_acl_source.pkt
NET018,ACL,Implicit Deny,Medium,ROUTER-SERVER,"Only explicitly permitted traffic works","Some required traffic is silently blocked",R1,"ACL contains permit for one service but no required permit for another","Required traffic should be explicitly allowed","Traffic reaches the implicit deny at the end of the ACL","Add the required permit statement before the implicit deny",High,NET018_acl_implicit_deny.pkt
NET019,NAT,Missing NAT Inside,Medium,LAN-ROUTER-INTERNET,"Internal users cannot access external networks","Internet access fails for LAN clients",R1,"LAN interface has no ip nat inside","LAN interface should participate as NAT inside","Inside interface is not marked for NAT","Configure ip nat inside on the LAN interface",High,NET019_nat_inside.pkt
NET020,NAT,Missing NAT Outside,Medium,LAN-ROUTER-INTERNET,"NAT translations are not functioning","Internal traffic reaches the router but external access fails",R1,"WAN interface has no ip nat outside","WAN interface should participate as NAT outside","Outside interface is not marked for NAT","Configure ip nat outside on the WAN interface",High,NET020_nat_outside.pkt
NET021,NAT,Incorrect NAT ACL,Medium,LAN-ROUTER-INTERNET,"Some internal hosts cannot access the Internet","Only certain subnets are translated",R1,"access-list 1 permit 192.168.20.0 0.0.0.255","Correct internal subnet should be translated","NAT ACL matches the wrong subnet","Correct the NAT ACL to match the internal network",High,NET021_nat_acl.pkt
NET022,NAT,Missing NAT Overload,Medium,LAN-ROUTER-INTERNET,"Multiple internal clients cannot share the public IP","One client works but multiple clients fail",R1,"ip nat inside source list 1 interface G0/0","Multiple clients should use the public interface address","NAT overload/PAT is missing","Configure NAT overload using the WAN interface",High,NET022_nat_overload.pkt
NET023,Routing,Missing Static Route,Easy,ROUTER-ROUTER,"Remote network cannot be reached","I can reach the local network but not the remote network",R1,"No route to 192.168.20.0/24","Router should have a route to the remote network","Static route is missing","Add a static route to the remote network",High,NET023_static_route.pkt
NET024,Routing,Incorrect Next Hop,Medium,ROUTER-ROUTER,"Traffic is sent toward the wrong router","The destination network is known but packets do not arrive",R1,"ip route 192.168.20.0 255.255.255.0 10.0.0.99","Next hop should point to the neighboring router","Static route uses an incorrect next-hop address","Configure the correct next-hop address",High,NET024_wrong_next_hop.pkt
NET025,Routing,Incorrect Subnet Mask,Medium,ROUTER-ROUTER,"Route does not match the intended destination network","Some destinations are reachable while others are not",R1,"ip route 192.168.20.0 255.255.255.128 ...","Route should represent the complete destination network","Incorrect subnet mask is used","Correct the route's subnet mask",Medium,NET025_route_mask.pkt
NET026,Routing,OSPF Network Statement Error,Medium,ROUTER-ROUTER,"OSPF neighbor or route is missing","The interface is up but the network is not advertised",R1,"router ospf 1 | network 192.168.30.0 0.0.0.255 area 0","Correct interface network should participate in OSPF","OSPF network statement does not match the interface network","Correct the OSPF network statement",High,NET026_ospf_network.pkt
NET027,Routing,OSPF Area Mismatch,Hard,ROUTER-ROUTER,"OSPF neighbors do not form","Both routers run OSPF but remain in INIT/DOWN state",R1-R2,"R1 uses area 0 | R2 uses area 1","Neighboring interfaces should use compatible OSPF areas","OSPF area values do not match","Configure the interfaces in the same OSPF area",High,NET027_ospf_area.pkt
NET028,Wireless,Incorrect SSID,Easy,AP-CLIENT,"Client cannot find the expected wireless network","The Wi-Fi network name is missing",Access Point,"SSID is configured as Office-Guest","Client should see the Office-Staff SSID","Access point uses an incorrect SSID","Configure the correct SSID",Medium,NET028_ssid.pkt
NET029,Wireless,Incorrect Wi-Fi Password,Easy,AP-CLIENT,"Client authentication fails","My device sees Wi-Fi but cannot connect",Access Point,"Configured WPA2 password differs from client password","Client and AP should use the same credentials","Incorrect wireless password","Configure matching wireless credentials",Medium,NET029_wifi_password.pkt
NET030,Wireless,WLAN DHCP Failure,Medium,AP-ROUTER-DHCP,"Wireless client connects but receives no IP address","Wi-Fi connects successfully but has no network access",AP-R1,"Wireless VLAN has no working DHCP service","Wireless clients should receive an IP address","DHCP service is unavailable for the wireless network","Restore DHCP service for the wireless subnet",High,NET030_wlan_dhcp.pkt
NET031,Wireless,Wireless Security Mismatch,Medium,AP-CLIENT,"Client cannot authenticate","The network is visible but authentication fails",AP,"AP uses WPA2 while client expects incompatible security","Client and AP should use compatible security settings","Security modes do not match","Configure compatible wireless security",Medium,NET031_wireless_security.packets
NET032,Mixed,VLAN and DHCP Failure,Hard,PC-SWITCH-ROUTER,"Client is in the correct VLAN but receives no IP address","The VLAN looks correct but DHCP doesn't work",SW1-R1,"VLAN 10 exists but DHCP relay is missing","Client should receive an address from the VLAN 10 DHCP scope","DHCP relay is missing on the VLAN gateway","Configure the appropriate ip helper-address",High,NET032_vlan_dhcp.pkt
NET033,Mixed,ACL and DNS Failure,Hard,PC-ROUTER-DNS,"Users can reach servers by IP but not hostname","DNS stops working after an ACL change",R1,"ACL denies UDP/TCP port 53","DNS queries should be permitted to the DNS server","ACL blocks DNS traffic","Permit required DNS traffic through the ACL",High,NET033_acl_dns.pkt
NET034,Mixed,NAT and Routing Failure,Hard,LAN-ROUTER-INTERNET,"NAT appears configured but Internet is unreachable","Translations do not result in successful Internet access",R1,"NAT configured but no default route exists","Router should have a route toward the ISP","Default route is missing","Configure the correct default route",High,NET034_nat_routing.pkt
NET035,Mixed,Trunk and Inter-VLAN Routing Failure,Hard,SWITCH-ROUTER,"Some VLANs cannot reach their gateway","The trunk is active but one VLAN cannot communicate",SW1-R1,"Router subinterface for VLAN 20 is missing","Each required VLAN should have a functioning gateway","Router-on-a-stick subinterface is missing","Create the correct subinterface with VLAN encapsulation and IP address",High,NET035_trunk_intervlan.pkt

